8	116049	117043	441308
8	182137	197342	169270
8	325931	333174	157693
8	356428	421225	26260
8	439803	495781	157695
8	564746	687651	101927618,157697
8	687651	688106	101927618,157697,619343
8	688106	1087777	619343
8	1244292	1250829	286083
8	1449532	1513675	9228
8	1513675	1570583	9228,100507435
8	1570583	1656642	100507435
8	1703944	1710156	2055,101927714
8	1710156	1712668	2055,101927752,101927714
8	1712668	1734738	101927752
8	1765397	1765473	693181
8	1772142	1906807	9639
8	1922044	1955102	9920
8	1993155	2113475	9172
8	2447076	2480453	101927815
8	2523591	2585991	101927836
8	2792875	4852494	64478
8	6261072	6264113	100287015
8	6264113	6264663	79648,100287015
8	6264663	6357172	79648
8	6357172	6420930	79648,285
8	6420930	6473125	285
8	6473125	6474719	100507530,285
8	6474719	6501144	100507530
8	6565878	6602685	55326
8	6602685	6602765	100616372,55326,100616348
8	6602765	6617184	100616348
8	6693076	6728097	100652791
8	6728097	6735544	100652791,1672
8	6735544	6742798	1672
8	6782215	6783598	1671
8	6793344	6795860	1669
8	6808248	6809121	449491
8	6816811	6817683	449492
8	6825663	6826635	449493
8	6835171	6837602	1667,728358
8	6844700	6847243	100287083,170949
8	6854288	6873391	1667,728358
8	6873391	6875778	728358,1667,1668,728358
8	6875778	6875823	1667,1668,728358
8	6886163	6887011	724068
8	6912831	6914256	1670
8	7159133	7170368	100128890
8	7170368	7177473	641517,100128890
8	7177473	7212876	641517
8	7213039	7243080	100131980
8	7272382	7274385	1673,100289462
8	7286410	7287870	55894,414325
8	7300206	7321196	10407,653423
8	7327830	7332604	140596,503618
8	7340026	7343922	503841,245909
8	7345191	7347115	245908,504180
8	7353368	7366833	245910,503614
8	7397150	7399972	100131608,100133251
8	7421320	7440175	441317
8	7626499	7629510	441328
8	7636113	7638935	100131608,100133251
8	7669242	7673238	245910,503614
8	7679488	7681411	245908,504180
8	7682694	7686575	503841,245909
8	7693993	7698764	140596,503618
8	7705398	7726389	10407,653423
8	7738726	7740186	55894,414325
8	7752151	7754233	1673,100289462
8	7783859	7812271	100132396
8	7812536	7847937	100132103
