24	2654896	2655740	6736
24	2709527	2800041	6192
24	2803112	2850547	7544
24	2870953	2970313	100873962
24	3447082	3448082	90655
24	4868267	5610265	83259,27328
24	6110487	6111651	100101121,252955
24	6114264	6117060	64591
24	6258472	6279605	50858,100101116
24	6311475	6315118	100101115,252953
24	6317509	6325947	246122
24	6338814	6341671	84673,100101118
24	6733959	6742068	266
24	6778727	6959724	90665
24	7142013	7249589	5616
24	7567398	7569288	252948
24	7672965	7678724	83867
24	8551411	8551919	252950
24	8572513	8573324	252952
24	8651351	8685423	83866
24	9148739	9160483	286557
24	9167489	9172441	252951
24	9175073	9177893	728395
24	9185120	9193010	100287826,100289150,252946
24	9195406	9205412	728403
24	9205412	9218479	100287826,252946,100289150,728403
24	9218479	9225731	100287826,252946,100289150
24	9225731	9233636	100287826,252946,100289188,100289150
24	9233636	9235047	252946,100289188,100289150
24	9236030	9236076	7258,728137,100289087
24	9236076	9307357	7258,728137,100289087,7258
24	9324922	9327689	7258
24	9355208	9364506	100287826,100289150,252946
24	9365489	9368291	7258,728137,100289087
24	9528709	9531566	84673,100101118
24	9544433	9552871	100101120
24	9555262	9558905	100101115,252953
24	9590765	9611898	50858,100101116
24	9638762	9650854	252954
24	9748407	9749571	100101121,252955
24	14475147	14532255	352887
24	14774265	14804162	64595
24	14813160	14972764	8287
24	15016019	15032390	8653
24	15360259	15398518	7404
24	15398518	15399258	7404,5687
24	15399258	15592553	5687
24	15815447	15817904	9087
24	16097652	16098393	9084,353513
24	16168097	16168838	9084,353513
24	16634518	16905522	22829
24	16905522	16915913	100874056,22829
24	16915913	16957530	100874056
24	19612838	19626898	340618,100302526
24	19989290	19992100	9426,203611
24	20137667	20140477	9085,253175,9426,203611
24	20552880	20566932	340618,100302526
24	20708557	20743092	159119,86614
24	20743092	20750849	159119,86614,83864,425057
24	20750849	20752407	83864,425057
24	20835919	20893326	83864,425057
24	20893326	20901083	159119,83864,425057,86614
24	20901083	20990548	159119,86614
24	21034387	21239302	83869,55410
24	21617317	21665039	286554
24	21729199	21768160	246126
24	21865751	21906825	8284
24	22627554	22681114	246119
24	22737611	22755040	9086,101060318
24	22918050	22942918	140032
24	23544840	23548246	100533178
24	23556877	23563471	159125
24	23673224	23673258	378948,378949
24	23673258	23687672	378949,5940,378948
24	23687672	23711212	5940
24	23745486	23756552	83868
24	24026223	24040673	378949,5940,378948,378950
24	24040673	24064214	378950,378949
24	24217903	24242154	9081,442862,100509646
24	24246961	24291113	101929148
24	24291113	24292978	101929148,441543,84672
24	24292978	24293631	441543
24	24314689	24329129	159163,378951
24	24442945	24445023	83863
24	24454970	24455006	159163,378949,378950,5940,378951,378948
24	24455006	24467972	159163,378949,100652931,5940,378948,378951,378950,159162
24	24467972	24564028	159163,378949,378948,159162,378950,100652931
24	24585087	24585740	101929148
24	24585740	24587605	101929148,84672,441543
24	24587605	24631739	441543
24	24636544	24660784	442862,100509646,9081
24	24997731	24998862	252949,474152,474151
24	25082602	25119431	474150,114761,474149
24	25119966	25151612	442867,442868,9083
24	25275502	25345241	57135,1617
24	25365594	25437503	57135,57055,1617
24	26191376	26194166	9085,253175
24	26329581	26333378	114758
24	26355714	26361728	401634,84559
24	26631479	26632610	252949,474152,474151
24	26716349	26753172	474150,114761,474149
24	26753707	26785354	442867,442868,9083
24	26909216	26959626	57055,57054
24	26980008	27053183	57135,57055,1617
24	27177048	27208695	442867,442868,9083
24	27209230	27246039	474150,114761,474149
24	27329790	27330920	252949,474152,474151
24	27600708	27606719	401634,84559
24	27624416	27629055	114758
24	27629055	27632852	114758,114758
24	27768264	27771049	9085,253175
24	27874637	27879535	114760,474148,114760
24	27874637	27879535	114760,474148,114760
